  === Zero Test === 
      1 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     24 MiB|      4.950  |      5.353  |      5.913  |      6.577  |      6.618  |      6.627 *| No_VPOPCNTDQ    | No_BITALG       |
     32 MiB|      4.900  |      5.293  |      5.739  |      6.369  |      5.836  |      6.454 *| No_VPOPCNTDQ    | No_BITALG       |
     48 MiB|      4.888  |      5.192  |      5.706  |      6.360  |      6.368  |      6.385 *| No_VPOPCNTDQ    | No_BITALG       |
     64 MiB|      4.869  |      5.202  |      5.693  |      6.355 *|      6.329  |      6.338  | No_VPOPCNTDQ    | No_BITALG       |
     96 MiB|      4.861  |      5.183  |      5.653  |      6.308  |      6.310 *|      6.291  | No_VPOPCNTDQ    | No_BITALG       |
    128 MiB|      4.853  |      5.164  |      5.636  |      6.284  |      6.271  |      6.288 *| No_VPOPCNTDQ    | No_BITALG       |
    192 MiB|      4.857  |      5.138  |      5.605  |      6.266 *|      6.264  |      6.265  | No_VPOPCNTDQ    | No_BITALG       |
    256 MiB|      4.854  |      5.132  |      5.601  |      6.252  |      6.246  |      6.260 *| No_VPOPCNTDQ    | No_BITALG       |
  === Performance Test (in bytes per corrected TSC clks) === 
   Method: |HWPopCnt     |VPopCntHSW   |VPopCntSKXYMM|VPopCntKNL   |VPopCntSKX   |VPopCntCNL   | No_VPopCntKNM   | No_VPopCntICL   |
   RDTSCP  |           36|           56|           38|           40|           40|           44| No_VPOPCNTDQ    | No_BITALG       |
     64 B  |      6.400 *|      8.000  |      4.571  |      3.200  |      6.400  |      5.333  | No_VPOPCNTDQ    | No_BITALG       |
     96 B  |      9.600 *|     16.000  |      6.000  |      4.000  |      5.333  |      4.800  | No_VPOPCNTDQ    | No_BITALG       |
    128 B  |      8.000 *|     10.667  |      9.143 *|      3.765  |      8.000  |      9.143  | No_VPOPCNTDQ    | No_BITALG       |
    192 B  |      8.727 *|      9.600  |      8.000  |      4.364  |      9.600  |     10.667  | No_VPOPCNTDQ    | No_BITALG       |
    256 B  |      9.143  |      8.533  |      8.533  |      5.120  |     11.636  |     16.000 *| No_VPOPCNTDQ    | No_BITALG       |
    384 B  |      8.727  |      8.727  |      9.600  |      5.486  |     13.714 *|      9.143  | No_VPOPCNTDQ    | No_BITALG       |
    512 B  |      8.258  |     15.059  |     15.059 *|      5.818  |     15.059  |     12.190  | No_VPOPCNTDQ    | No_BITALG       |
    768 B  |      8.000  |     13.714  |     12.800  |      5.908  |     14.769 *|     16.000 *| No_VPOPCNTDQ    | No_BITALG       |
   1024 B  |      8.000  |     15.515  |     19.692  |     13.128  |     23.273  |     26.947 *| No_VPOPCNTDQ    | No_BITALG       |
   1536 B  |      8.084  |     16.000  |     21.943 *|      9.974  |     20.757  |     24.000 *| No_VPOPCNTDQ    | No_BITALG       |
   2048 B  |      7.938  |     15.515  |     16.000  |     20.078  |     32.000  |     36.571 *| No_VPOPCNTDQ    | No_BITALG       |
   3072 B  |      7.918  |     15.515  |     17.655  |     24.000  |     36.571 *|     38.400 *| No_VPOPCNTDQ    | No_BITALG       |
      4 KiB|      7.938  |     15.284  |     20.277  |     22.756  |     29.681  |     31.508 *| No_VPOPCNTDQ    | No_BITALG       |
      6 KiB|      7.959  |     15.515  |     22.925  |     22.588  |     31.670 *|     30.416  | No_VPOPCNTDQ    | No_BITALG       |
      8 KiB|      7.953  |     15.574  |     24.527  |     30.567  |     38.642 *|     39.010  | No_VPOPCNTDQ    | No_BITALG       |
     12 KiB|      7.948  |     15.284  |     26.256  |     36.571  |     44.201  |     45.176 *| No_VPOPCNTDQ    | No_BITALG       |
     16 KiB|      7.977  |     15.574  |     27.307  |     39.575  |     47.353 *|     47.906 *| No_VPOPCNTDQ    | No_BITALG       |
     24 KiB|      7.943  |     15.535  |     28.444  |     44.201  |     50.777 *|     50.777  | No_VPOPCNTDQ    | No_BITALG       |
     32 KiB|      7.957  |     15.355  |     28.998  |     46.152  |     52.682 *|     52.345  | No_VPOPCNTDQ    | No_BITALG       |
     48 KiB|      7.959  |     15.418  |     27.186  |     32.988  |     34.761 *|     34.276  | No_VPOPCNTDQ    | No_BITALG       |
     64 KiB|      7.961  |     15.398  |     27.490  |     29.627  |     31.447  |     31.969 *| No_VPOPCNTDQ    | No_BITALG       |
     96 KiB|      7.961  |     15.427  |     27.367  |     31.938  |     33.166  |     33.323 *| No_VPOPCNTDQ    | No_BITALG       |
    128 KiB|      7.961  |     15.406  |     27.513  |     30.454  |     32.460  |     32.703 *| No_VPOPCNTDQ    | No_BITALG       |
    192 KiB|      7.961  |     15.350  |     28.552  |     35.708  |     37.492  |     37.955 *| No_VPOPCNTDQ    | No_BITALG       |
    256 KiB|      7.955  |     15.364  |     28.700  |     36.746  |     38.528 *|     37.992  | No_VPOPCNTDQ    | No_BITALG       |
    384 KiB|      7.737  |     14.669  |     18.978 *|     17.931  |     18.216  |     18.193  | No_VPOPCNTDQ    | No_BITALG       |
    512 KiB|      7.727  |     14.459  |     18.491 *|     17.330  |     17.621  |     17.633  | No_VPOPCNTDQ    | No_BITALG       |
    768 KiB|      7.736  |     14.437  |     18.451 *|     17.314  |     17.615  |     17.642  | No_VPOPCNTDQ    | No_BITALG       |
   1024 KiB|      7.733  |     14.466  |     18.535 *|     17.275  |     17.622  |     17.595  | No_VPOPCNTDQ    | No_BITALG       |
   1536 KiB|      7.732  |     14.436  |     18.532 *|     17.302  |     17.618  |     17.559  | No_VPOPCNTDQ    | No_BITALG       |
   2048 KiB|      7.732  |     14.441  |     18.436 *|     17.286  |     17.603  |     17.553  | No_VPOPCNTDQ    | No_BITALG       |
   3072 KiB|      7.363  |     12.845  |     16.236 *|     15.347  |     15.853  |     15.802  | No_VPOPCNTDQ    | No_BITALG       |
      4 MiB|      6.411  |      8.993  |     11.155 *|     10.589  |     10.991  |     11.002  | No_VPOPCNTDQ    | No_BITALG       |
      6 MiB|      5.654  |      6.887  |      8.116  |      8.595  |      8.765  |      8.865 *| No_VPOPCNTDQ    | No_BITALG       |
      8 MiB|      5.466  |      6.210  |      7.150  |      7.793  |      7.907  |      7.949 *| No_VPOPCNTDQ    | No_BITALG       |
     12 MiB|      5.032  |      5.567  |      6.288  |      6.986  |      7.099 *|      7.062  | No_VPOPCNTDQ    | No_BITALG       |
     16 MiB|      4.981  |      5.472  |      6.093  |      6.826  |      6.786  |      6.861 *| No_VPOPCNTDQ    | No_BITALG       |
     24 MiB|      4.950  |      5.354  |      5.913  |      6.577  |      6.618  |      6.627 *| No_VPOPCNTDQ    | No_BITALG       |
     32 MiB|      4.900  |      5.293  |      5.739  |      6.369  |      5.837  |      6.454 *| No_VPOPCNTDQ    | No_BITALG       |
     48 MiB|      4.888  |      5.192  |      5.706  |      6.360  |      6.368  |      6.385 *| No_VPOPCNTDQ    | No_BITALG       |
     64 MiB|      4.869  |      5.202  |      5.693  |      6.355 *|      6.329  |      6.338  | No_VPOPCNTDQ    | No_BITALG       |
     96 MiB|      4.861  |      5.183  |      5.653  |      6.308  |      6.310 *|      6.291  | No_VPOPCNTDQ    | No_BITALG       |
    128 MiB|      4.853  |      5.164  |      5.636  |      6.284  |      6.271  |      6.288 *| No_VPOPCNTDQ    | No_BITALG       |
    192 MiB|      4.857  |      5.138  |      5.605  |      6.266 *|      6.264  |      6.265  | No_VPOPCNTDQ    | No_BITALG       |
    256 MiB|      4.854  |      5.132  |      5.601  |      6.252  |      6.246  |      6.260 *| No_VPOPCNTDQ    | No_BITALG       |
  === Performance Test (TSC clks per processed qwords) === 
   Method: |HWPopCnt     |VPopCntHSW   |VPopCntSKXYMM|VPopCntKNL   |VPopCntSKX   |VPopCntCNL   | No_VPopCntKNM   | No_VPopCntICL   |
   RDTSCP  |           36|           56|           38|           40|           40|           44| No_VPOPCNTDQ    | No_BITALG       |
     64 B  |      1.250 *|      1.000  |      1.750  |      2.500  |      1.250  |      1.500  | No_VPOPCNTDQ    | No_BITALG       |
     96 B  |      0.833 *|      0.500  |      1.333  |      2.000  |      1.500  |      1.667  | No_VPOPCNTDQ    | No_BITALG       |
    128 B  |      1.000 *|      0.750  |      0.875 *|      2.125  |      1.000  |      0.875  | No_VPOPCNTDQ    | No_BITALG       |
    192 B  |      0.917 *|      0.833  |      1.000  |      1.833  |      0.833  |      0.750  | No_VPOPCNTDQ    | No_BITALG       |
    256 B  |      0.875  |      0.938  |      0.938  |      1.563  |      0.688  |      0.500 *| No_VPOPCNTDQ    | No_BITALG       |
    384 B  |      0.917  |      0.917  |      0.833  |      1.458  |      0.583 *|      0.875  | No_VPOPCNTDQ    | No_BITALG       |
    512 B  |      0.969  |      0.531  |      0.531 *|      1.375  |      0.531  |      0.656  | No_VPOPCNTDQ    | No_BITALG       |
    768 B  |      1.000  |      0.583  |      0.625  |      1.354  |      0.542 *|      0.500 *| No_VPOPCNTDQ    | No_BITALG       |
   1024 B  |      1.000  |      0.516  |      0.406  |      0.609  |      0.344  |      0.297 *| No_VPOPCNTDQ    | No_BITALG       |
   1536 B  |      0.990  |      0.500  |      0.365 *|      0.802  |      0.385  |      0.333 *| No_VPOPCNTDQ    | No_BITALG       |
   2048 B  |      1.008  |      0.516  |      0.500  |      0.398  |      0.250  |      0.219 *| No_VPOPCNTDQ    | No_BITALG       |
   3072 B  |      1.010  |      0.516  |      0.453  |      0.333  |      0.219 *|      0.208 *| No_VPOPCNTDQ    | No_BITALG       |
      4 KiB|      1.008  |      0.523  |      0.395  |      0.352  |      0.270  |      0.254 *| No_VPOPCNTDQ    | No_BITALG       |
      6 KiB|      1.005  |      0.516  |      0.349  |      0.354  |      0.253 *|      0.263  | No_VPOPCNTDQ    | No_BITALG       |
      8 KiB|      1.006  |      0.514  |      0.326  |      0.262  |      0.207 *|      0.205  | No_VPOPCNTDQ    | No_BITALG       |
     12 KiB|      1.007  |      0.523  |      0.305  |      0.219  |      0.181  |      0.177 *| No_VPOPCNTDQ    | No_BITALG       |
     16 KiB|      1.003  |      0.514  |      0.293  |      0.202  |      0.169 *|      0.167 *| No_VPOPCNTDQ    | No_BITALG       |
     24 KiB|      1.007  |      0.515  |      0.281  |      0.181  |      0.158 *|      0.158  | No_VPOPCNTDQ    | No_BITALG       |
     32 KiB|      1.005  |      0.521  |      0.276  |      0.173  |      0.152 *|      0.153  | No_VPOPCNTDQ    | No_BITALG       |
     48 KiB|      1.005  |      0.519  |      0.294  |      0.243  |      0.230 *|      0.233  | No_VPOPCNTDQ    | No_BITALG       |
     64 KiB|      1.005  |      0.520  |      0.291  |      0.270  |      0.254  |      0.250 *| No_VPOPCNTDQ    | No_BITALG       |
     96 KiB|      1.005  |      0.519  |      0.292  |      0.250  |      0.241  |      0.240 *| No_VPOPCNTDQ    | No_BITALG       |
    128 KiB|      1.005  |      0.519  |      0.291  |      0.263  |      0.246  |      0.245 *| No_VPOPCNTDQ    | No_BITALG       |
    192 KiB|      1.005  |      0.521  |      0.280  |      0.224  |      0.213  |      0.211 *| No_VPOPCNTDQ    | No_BITALG       |
    256 KiB|      1.006  |      0.521  |      0.279  |      0.218  |      0.208 *|      0.211  | No_VPOPCNTDQ    | No_BITALG       |
    384 KiB|      1.034  |      0.545  |      0.422 *|      0.446  |      0.439  |      0.440  | No_VPOPCNTDQ    | No_BITALG       |
    512 KiB|      1.035  |      0.553  |      0.433 *|      0.462  |      0.454  |      0.454  | No_VPOPCNTDQ    | No_BITALG       |
    768 KiB|      1.034  |      0.554  |      0.434 *|      0.462  |      0.454  |      0.453  | No_VPOPCNTDQ    | No_BITALG       |
   1024 KiB|      1.035  |      0.553  |      0.432 *|      0.463  |      0.454  |      0.455  | No_VPOPCNTDQ    | No_BITALG       |
   1536 KiB|      1.035  |      0.554  |      0.432 *|      0.462  |      0.454  |      0.456  | No_VPOPCNTDQ    | No_BITALG       |
   2048 KiB|      1.035  |      0.554  |      0.434 *|      0.463  |      0.454  |      0.456  | No_VPOPCNTDQ    | No_BITALG       |
   3072 KiB|      1.087  |      0.623  |      0.493 *|      0.521  |      0.505  |      0.506  | No_VPOPCNTDQ    | No_BITALG       |
      4 MiB|      1.248  |      0.890  |      0.717 *|      0.756  |      0.728  |      0.727  | No_VPOPCNTDQ    | No_BITALG       |
      6 MiB|      1.415  |      1.162  |      0.986  |      0.931  |      0.913  |      0.902 *| No_VPOPCNTDQ    | No_BITALG       |
      8 MiB|      1.464  |      1.288  |      1.119  |      1.027  |      1.012  |      1.006 *| No_VPOPCNTDQ    | No_BITALG       |
     12 MiB|      1.590  |      1.437  |      1.272  |      1.145  |      1.127 *|      1.133  | No_VPOPCNTDQ    | No_BITALG       |
     16 MiB|      1.606  |      1.462  |      1.313  |      1.172  |      1.179  |      1.166 *| No_VPOPCNTDQ    | No_BITALG       |
     24 MiB|      1.616  |      1.494  |      1.353  |      1.216  |      1.209  |      1.207 *| No_VPOPCNTDQ    | No_BITALG       |
     32 MiB|      1.633  |      1.511  |      1.394  |      1.256  |      1.371  |      1.240 *| No_VPOPCNTDQ    | No_BITALG       |
     48 MiB|      1.637  |      1.541  |      1.402  |      1.258  |      1.256  |      1.253 *| No_VPOPCNTDQ    | No_BITALG       |
     64 MiB|      1.643  |      1.538  |      1.405  |      1.259 *|      1.264  |      1.262  | No_VPOPCNTDQ    | No_BITALG       |
     96 MiB|      1.646  |      1.543  |      1.415  |      1.268  |      1.268 *|      1.272  | No_VPOPCNTDQ    | No_BITALG       |
    128 MiB|      1.648  |      1.549  |      1.419  |      1.273  |      1.276  |      1.272 *| No_VPOPCNTDQ    | No_BITALG       |
    192 MiB|      1.647  |      1.557  |      1.427  |      1.277 *|      1.277  |      1.277  | No_VPOPCNTDQ    | No_BITALG       |
    256 MiB|      1.648  |      1.559  |      1.428  |      1.280  |      1.281  |      1.278 *| No_VPOPCNTDQ    | No_BITALG       |
  === Zero Test === 
      1 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      3 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      7 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     15 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     31 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     63 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    127 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    255 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    511 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   1023 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   2047 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   4095 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      7 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     15 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     31 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     63 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    127 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    255 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    511 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   1023 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   2047 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   4095 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      7 MiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
  === Full Test === 
      1 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      3 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      7 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     15 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     31 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     63 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    127 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    255 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    511 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   1023 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   2047 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   4095 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      7 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     15 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     31 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     63 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    127 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    255 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    511 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   1023 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   2047 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   4095 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      7 MiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
  === Random Test === 
      1 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      3 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      7 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     15 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     31 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     63 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    127 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    255 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
    511 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   1023 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   2047 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
   4095 B  |HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
      7 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
     15 KiB|HWPopCnt     :OK   |VPopCntHSW   :OK   |VPopCntSKXYMM:OK   |VPopCntKNL   :OK   |VPopCntSKX   :OK   |VPopCntCNL   :OK   | No_VPOPCNTDQ    | No_BITALG       |
